id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
12000,2000,King of the Cage #5: Cage Wars,,,,,,
12001,1995,El Callejon De Los Milagros,140,7.5,Jorge Fons,Vicente Leñero-Najeeb Mahfouz,Alameda Films-Consejo Nacional para la Cultura y las Artes-Instituto Mexicano de Cinematografía,Drama
12002,1988,Oliver & Company,74,6.7,George Scribner,Jim Cox-Tim Disney-James Mangold,Walt Disney Feature Animation-Silver Screen Partners III-Walt Disney Pictures,Animation-Adventure-Comedy-Family-Musical
12003,1998,The X-Files: Fight the Future,,,,,Buena Vista Television,Talk-Show
12004,1989,A Fool and His Money,84,3.8,Daniel Adams,Daniel Adams-Daniel Adams-Michael Mailer,Blossom Pictures-Chronicle Films,Comedy-Drama
12005,1984,Iceman,100,6.1,Fred Schepisi,Chip Proser-John Drimmer-John Drimmer,Universal Pictures,Drama-Sci-Fi
12006,2002,Just One Look,104,7.0,Kam-Hung Yip,Kam-Hung Yip,Emperor Multimedia Group (EMG)-Kams' Creation Workshop,Comedy-Drama-Romance
12007,1968,The Detective,114,6.5,Gordon Douglas,Abby Mann-Roderick Thorp,Arcola Pictures-Arcola-Millfield Productions,Crime-Drama-Thriller
12008,1963,The Twilight Zone: Vol. 31,,,,,,
12009,1994,Space Ghost Coast to Coast: Vol. 1,,,,,,
12010,2000,Strangers in Good Company,,,,,,
12011,1959,Operation Petticoat,124,7.3,Blake Edwards,Stanley Shapiro-Maurice Richlin-Paul King,Granart Company-Universal International Pictures,Comedy-Romance-War
12012,1989,Tour of Duty: Season 3,,,,,,
12013,2001,The Arena,92,2.8,Timur Bekmambetov,John William Corrington,Juga Films Corporation-Bazelevs Production-Concorde-New Horizons,Adventure-Drama-Action
12014,1997,I Know What You Did Last Summer,101,5.7,Jim Gillespie,Lois Duncan-Kevin Williamson,Mandalay Entertainment-Summer Knowledge LLC,Horror-Mystery
12015,1992,White Men Can't Jump,115,6.7,Ron Shelton,Ron Shelton,Twentieth Century Fox,Comedy-Drama-Sport
12016,2005,Classic Cartoon Favorites: Starring Chip 'n' Dale,,,,,,
12017,1979,Quadrophenia,120,7.3,Franc Roddam,Dave Humphries-Martin Stellman-Franc Roddam,The Who Films-Polytel,Drama-Music
12018,1969,Krakatoa East of Java,,,,,,
12019,2004,CSI: New York: Season 1,,,,,,
12020,2001,The Best of the Improv: Vol. 1,,,,,,
12021,1987,No Man's Land,106,6.1,Peter Werner,Dick Wolf,Orion Pictures,Crime-Drama-Thriller
12022,1999,The Great Barrier Reef: IMAX,,,,,,
12023,2001,Tupac Shakur: Thug Angel: The Life of an Outlaw,,,,,,
12024,2000,The Hunger: Bump in the Night,,,,,,
12025,1994,That's Entertainment 3,113,7.6,Bud Friedgen-Michael J. Sheridan,Bud Friedgen-Michael J. Sheridan,Metro-Goldwyn-Mayer (MGM)-Turner Entertainment,Documentary-Family-Musical
12026,1996,ER: Season 3,,,,,,
12027,1991,Naked Lunch: Bonus Material,,,,,,
12028,2001,Shaolin Soccer,113,7.3,Stephen Chow,Stephen Chow-Kan-Cheung Tsang-Min Hun Fung,Star Overseas-Universe Entertainment,Action-Comedy-Fantasy-Sport
12029,1972,The Pigkeeper's Daughter / Sassy Sue,92,4.8,Bethel Buckalew,,Boxoffice International Pictures-Pure Gold Productions,Comedy
12030,2000,A Bing Crosby Christmas,,,,,,
12031,2002,Scotland,,,,,,
12032,1984,Talking Heads: Stop Making Sense,88,8.5,Jonathan Demme,Jonathan Demme-Talking Heads,Talking Heads-Arnold Stiefel Company,Documentary-Music
12033,1986,Nightmaster,,,,,,
12034,1980,The Shining,146,8.4,Stanley Kubrick,Stephen King-Stanley Kubrick-Diane Johnson,Warner Bros.-Hawk Films-Peregrine-Producers Circle,Drama-Horror
12035,2002,Oz: Season 5,,,,,,
12036,2000,Directors: Terry Gilliam,60,7.4,Robert J. Emery,Robert J. Emery,Wellspring Productions,Documentary-Biography
12037,1987,Stevie Nicks: Live at Red Rocks,60,8.2,Marty Callner,,,Documentary-Music
12038,2000,Miracle in Lane 2,120,6.2,Greg Beeman,Joel Kauffmann-Donald C. Yost,,Biography-Comedy-Drama-Family-Sport
12039,1997,Commandments,88,5.6,Daniel Taplitz,Daniel Taplitz,Universal Pictures-Northern Lights Entertainment,Comedy-Drama-Romance
12040,2004,Lil' Pimp,,,,,,
12041,2002,Ghetto Dawg,,5.4,Brian Averill,Allen Cognata-Greg Russo,Jersey Bred Productions,Drama
12042,1973,5 Fingers of Death,,,,,,
12043,2002,On Edge,,,,,,
12044,2001,The Legend of Suriyothai,185,6.6,Chatrichalerm Yukol,Sunait Chutintaranond-Chatrichalerm Yukol,American Zoetrope-Prommitr International Production,Action-Adventure-Drama-History-War
12045,1999,Tomie,72,5.0,Toshirô Inomata,Junji Ito,,Horror-Romance
12046,2002,Depeche Mode: One Night in Paris: The Exciter Tour 2001,,,,,,
