id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
14000,1986.0,'Allo 'Allo!: Series 3,,,,,,,
14001,2001.0,Puppetry of the Penis,,,,,,,
14002,1989.0,DeepStar Six,105,5.2,Sean S. Cunningham,Lewis Abernathy-Lewis Abernathy-Geof Miller,Carolco Entertainment-Carolco Pictures,Action-Horror-Sci-Fi-Thriller,The crew of an experimental underwater nuclear base are forced to struggle for their lives when their explorations disturb a creature who threatens to destroy their base.
14003,2004.0,Imaginary Heroes,111,7.2,Dan Harris,Dan Harris,ApolloProMedia GmbH & Co. 1. Filmproduktion KG-QI Quality International GmbH & Co. KG-Signature Pictures-Art Linson Productions,Comedy-Drama,The Travis family façade is destroyed by an event incomprehensible to them -- an event which will open locked doors and finally reveal the secrets that have haunted them for decades.
14004,1998.0,Leonard Bernstein: Reaching for the Note,117,8.1,Susan Lacy,Susan Lacy,Eagle Rock Entertainment-WNET Channel 13 New York-WinStar Productions,Documentary-Biography,
14005,2003.0,Dora the Explorer: Dora's Map Adventures,,,,,,,
14006,1990.0,Loose Cannons,94,4.8,Bob Clark,Richard Christian Matheson-Richard Matheson-Bob Clark,TriStar Pictures,Action-Comedy-Crime-Thriller,"Mac, the two fisted savy cop finds that he's being saddled with a new partner, a known burn out, to work with him on a new and difficult case. The new partner is, Ellis, an amazing detective, one who puts Sherlock Holmes to shame with his lightning fast deductions. Ellis has a couple of problems. He keeps assuming the personalities of entire casts of Television shows. This can be a problem when people begin shooting at them."
14007,2000.0,Tomie Replay,95,5.5,Tomijiro Mitsuishi,Junji Ito-Satoru Tamaki,,Horror,"A young girl looking through her father's notes finds something written about the last experiment he worked on before he went insane. Everything in his notebook looks ordinary until near the last page, at which point his handwriting deteriorates and the name ""Tomie"" is mentioned several times. From that point forward his notes are written in what looks like blood. At the same time, another young girl escapes from a hospital. Who is she, and what does she have planned?"
14008,1967.0,Dark Shadows: Vol. 5,,,,,,,
14009,2001.0,Hell House,85,6.8,George Ratliff,,GreenHouse Pictures-Cantina Pictures-Mixed Greens Media,Documentary,"A look at the ""Hell House"" performed annually in October by the youth members of Trinity Church (Assemblies of God) in Cedar Hill, Texas (a Dallas suburb) - seen by over 10,000 visitors each year. We see the organization and planning of the event - including auditions, construction, scripting and rehearsals - largely through the involvement of one family: a single father with 4 children (one of whom suffers from cerebral palsy) including his daughter, a cast member."
14010,1994.0,Killing Zoe,,,Don DuPree,,Buena Vista Television,Talk-Show,
14011,1994.0,Scooby-Doo in Arabian Nights,69,6.0,Jun Falkenstein-Joanna Romersa,Gordon Kent-Glenn Leopold,Hanna-Barbera Productions-Warner Bros. Animation,Animation-Comedy-Family-Fantasy,
14012,2000.0,Innocents,90,4.8,Gregory Marquette,Gregory Marquette,Adagio Films-Canadian Film or Video Production Tax Credit (CPTC)-Cineinnocents-Cinerenta Medienbeteiligungs KG-Credo Entertainment Group-IMF Internationale Medien und Film GmbH & Co. Produktions KG-Marie Hoy Films-Saskatchewan Film Employment Tax Credit,Thriller,"A traveling cellist gets involved with two disturbed sisters on their way to Seattle to tell their mom that their dad has just passed away. On the way, the two kill a judge and a few others unknown to the cellist. Eventually he gets pinned for the crimes and is forced to defend himself."
