id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,Plot
2000,1994,Four Weddings and a Funeral,117,7.1,Mike Newell,Richard Curtis,PolyGram Filmed Entertainment-Channel Four Films-Working Title Films,Comedy-Drama-Romance,"The film follows the fortunes of Charles and his friends as they wonder if they will ever find true love and marry. Charles thinks he's found ""Miss Right"" in Carrie, an American. This British subtle comedy revolves around Charlie, his friends and the four weddings and one funeral which they attend."
2001,1992,Under Siege,103,6.5,Andrew Davis,J.F. Lawton,Warner Bros.-Regency Enterprises-Canal+-Alcor Films-Arnon Milchan Productions,Action-Thriller,"The battleship Missouri is about to be decomissioned. Casey Ryback is Captain Adam's personal cook. And Ryback is always butting heads with the ship's XO Commander Krill but the Captain always intercedes. One day, after the President visits the Missouri, which is also the Captain's birthday, the Captain learns that a helicopter has been cleared to land on the ship by Commander Krill, which he was not informed of. When questioned Krill tells the Captain that it's a surprise for his birthday, the Captain then allows it. Later after another one of their scuffles, Krill has Ryback locked in the freezer. During the party, the rock band reveals themselves to be mercenaries, led by William Stranix, a CIA operative, who is in league with Krill to unload all of the ship's nuclear warheads. They lock up all of the crew and make preparations to remove the warheads. And Krill remembers Ryback, Stranix sends two of his men to take care of Ryback, only thing is that Ryback took care of them. Upon discovering their bodies, Stranix deduces that Ryback is more than a cook. He then sends Krill to check on him, and Krill discovers that Ryback's a NAVY SEAL, who got busted down to a cook after an incident in Panama. And Ryback continues to create trouble for them, so Stranix tries to hunt him down. Along the way, Ryback meets Jordan, a former playmate, who was supposed to entertain at the party but was also forgotten."
2002,2002,Nijinsky,,,,,,,
2003,1974,Truck Turner,91,7.0,Jonathan Kaplan,Oscar Williams-Michael Allin-Jerry Wilkes,American International Pictures-Sequoia Productions,Action-Crime-Thriller,"Truck is a bounty hunter who gets a job to track down a guy named Gator. When he and his partner find him, a chase ensues and Gator is killed. This makes Gator's woman, Dorinda, very angry and she puts a hit on Truck. The man who agrees to kill Truck is named Blue. The question is whether Truck can survive with Blue and his gang on his trail."
2004,2001,She Creature,91,5.9,Sebastian Gutierrez,Sebastian Gutierrez,Columbia TriStar Television-Creature Features Productions LLC-Home Box Office,Fantasy-Horror-Thriller,"Two carnies (Sewell and Gugino) abduct a mermaid in Ireland, circa 1900, and decide to transport her to America. As their ship loses its way and heads towards the mythical Forbidden Islands, the mermaid begins to display its deadly side."
2005,1995,Ice Cream Man,84,4.9,Paul Norman,David Dobkin-David Dobkin-Sven Davison,Doublesteen Productions-David M. Goldstein Productions,Comedy-Horror-Thriller,
2006,1999,Simpatico,106,4.5,Matthew Warchus,Sam Shepard-Matthew Warchus-David Nicholls,Emotion Pictures-Canal+-Zeal Pictures-Kingsgate Films,Drama-Comedy-Crime,"As youths in Azusa, Vinnie, Carter, and Rosie pull off a racing scam, substituting winners for plodders and winning big bucks on long odds. When an official uncovers the scam, they set him up for blackmail. Jump ahead twenty years, Carter and Rosie are married, successful racers in Kentucky about to sell their prize stallion, Simpatico. Vinnie is a drunk in Pomona. Vinnie decides to make a play for Rosie, lures Carter to California, steals his wallet and heads for Kentucky with the original blackmail material. Carter begs Vinnie's friend, a grocery clerk named Cecilia, to follow Vinnie and get the stuff back that he has in a box. Will she succeed?"
2007,1998,Kiss the Sky,107,6.1,Roger Young,Eric Lerner,Metro-Goldwyn-Mayer,Drama-Romance,"Two professionals, Jeff and Marty, take a business trip to the Philippines. Their deep dissatisfaction with their lives leads them to forsake their friends and families for a return to the alcohol and drug-induced wanderings of their youth."
2008,2005,Hercules,240,5.8,Roger Young,Charles Edward Pogue,Hallmark Entertainment,Adventure-Drama-Fantasy,
2009,1999,The Talented Mr. Ripley,139,7.4,Anthony Minghella,Patricia Highsmith-Anthony Minghella,Miramax-Paramount Pictures-Mirage Enterprises-Timnick Films,Crime-Drama-Thriller,"The 1950s. Manhattan lavatory attendant, Tom Ripley, borrows a Princeton jacket to play piano at a garden party. When the wealthy father of a recent Princeton grad chats Tom up, Tom pretends to know the son and is soon offered $1,000 to go to Italy to convince Dickie Greenleaf to return home. In Italy, Tom attaches himself to Dickie and to Marge, Dickie's cultured fiancée, pretending to love jazz and harboring homoerotic hopes as he soaks in luxury. Besides lying, Tom's talents include impressions and forgery, so when the handsome and confident Dickie tires of Tom, dismissing him as a bore, Tom goes to extreme lengths to make Greenleaf's privileges his own."
2010,1963,The Courtship of Eddie's Father,118,6.8,Vincente Minnelli,John Gay-Mark Toby,Euterpe-Venice Productions,Comedy-Drama-Family-Romance,"Eddie thinks it is time for his father to remarry. However, in his opinion his father's taste in women leaves much to be desired. He believes the girl next door would be a far better choice..."
