id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
8000,2005,Sports Illustrated Swimsuit Edition: 2005,,,,,,
8001,1969,Sweet Charity,149,7.0,Bob Fosse,Neil Simon-Federico Fellini-Tullio Pinelli,Universal Pictures,Comedy-Drama-Music-Musical-Romance
8002,2004,Deewaar,163,6.2,Milan Luthria,Anurag Kashyap-Shridhar Raghavan,V.R. Pictures,Action-Drama-Thriller
8003,2004,Harry Connick Jr.: Only You,,,Pierre Lamoureux,,Enliven Entertainment-KQED,Music
8004,1998,The Best of So Graham Norton,,,,,,
8005,1986,Therese,94,7.5,Alain Cavalier,Camille de Casabianca-Alain Cavalier,AFC-Centre National de la Cinématographie-Films A2,Drama
8006,1962,Hans Brinker,60,7.7,Norman Foster,Mary Mapes Dodge-Norman Foster,Walt Disney Productions,Adventure-Biography-Drama-Family-Western
8007,1964,Nothing But a Man,95,8.1,Michael Roemer,Michael Roemer-Robert M. Young,DuArt Film and Video-Nothing But a Man Company,Drama-Romance
8008,1998,Treasure Island,,,,,,
8009,2003,Recipe for Disaster,88,5.2,Harvey Frost,William Propp,Commotion Pictures,Comedy-Family
8010,2002,3-2-1 Penguins: The Cheating Scales of Bullamanka,,,,,,
8011,2002,Jonah: A VeggieTales Movie,82,6.6,Mike Nawrocki-Phil Vischer,Phil Vischer-Mike Nawrocki-Tim Hodge,Big Idea Productions-DreamWorks Animation-Universal Cartoon Studios,Animation-Adventure-Comedy-Drama-Family-Musical
8012,1991,Kickboxer 2,89,4.5,Albert Pyun,Mark DiSalle-Jean-Claude Van Damme-David S. Goyer,Kings Road Entertainment,Action-Sport
8013,2003,Roy Orbison: Greatest Hits,,,,,,
8014,2002,All About the Benjamins,95,5.8,Kevin Bray,Ronald Lang-Ice Cube,New Line Cinema-Cube Vision-Flipside Entertainment-Linovo Productions GmbH & Co. KG,Action-Comedy-Crime-Thriller
8015,2005,Cold Case Files: The Most Infamous Cases,,,,,,
8016,1999,Eyes Wide Shut,159,7.4,Stanley Kubrick,Stanley Kubrick-Frederic Raphael-Arthur Schnitzler,Warner Bros.-Stanley Kubrick Productions-Hobby Films-Pole Star,Drama-Mystery-Thriller
8017,1964,The Munsters: Season 1,,,,,,
8018,2001,Xtreme Martial Arts,,,,,,
8019,1995,Murder in the First,122,7.3,Marc Rocco,Dan Gordon,Warner Bros.-Canal+-The Wolper Organization,Drama-Thriller
8020,1989,Dead Calm,96,6.8,Phillip Noyce,Terry Hayes-Charles Williams,Kennedy Miller Productions-Lynx Location Services,Horror-Thriller
8021,1980,Why Didn't They Ask Evans?,180,7.2,John Davies-Tony Wharmby,Agatha Christie,London Weekend Television-ITV - Independent Television,Crime-Mystery-Romance-Thriller
