id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,rated
1,2003.0,Dinosaur Planet,50.0,7.7,Pierre de Lespinois,Mike Carrol-Mike Carroll-Georgann Kane,,Documentary-Animation-Family,4.0
2,2004.0,Isle of Man TT 2004 Review,,,,,,,
3,1997.0,Character,122.0,7.8,Mike van Diem,Ferdinand Bordewijk-Laurens Geels-Mike van Diem,First Floor Features-Almerica Film,Crime-Drama-Mystery,
4,1994.0,Paula Abdul's Get Up & Dance,54.0,8.8,Steve Purcell,,,Family,
5,2004.0,The Rise and Fall of ECW,360.0,8.6,Kevin Dunn,Paul Heyman,WWE Home Video,Documentary-Sport,
6,1997.0,Sick,90.0,7.6,Kirby Dick,,Sick-the Life and Death of Bob Flanagan-Supermasochist,Documentary,
7,1992.0,8 Man,83.0,5.0,Yasuhiro Horiuchi,Kazumasa Hirai-Jirô Kuwata,Rim Publishing,Action-Sci-Fi,
8,2004.0,What the #$*! Do We Know!?,109.0,5.4,William Arntz-Betsy Chasse-Mark Vicente,William Arntz-Betsy Chasse-Matthew Hoffman,Captured Light-Lord of the Wind,Documentary-Comedy-Drama-Fantasy-Mystery-Sci-Fi,
9,1991.0,Class of Nuke 'Em High 2,90.0,4.2,Eric Louzil,Lloyd Kaufman-Carl Morano-Matt Unger,Troma Entertainment,Comedy-Horror-Sci-Fi,
10,2001.0,Fighter,,,,,,,
11,1999.0,Full Frame: Documentary Shorts,,,,,,,
12,1947.0,My Favorite Brunette,87.0,6.9,Elliott Nugent,Edmund Beloin-Jack Rose-Bob Hope,Hope Enterprises,Comedy-Crime-Mystery-Romance,
13,2003.0,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,,,,,,,
14,1982.0,Nature: Antarctica,,,,,,,
15,1988.0,Neil Diamond: Greatest Hits Live,60.0,8.1,Dwight Hemion-Peter Israelson,Kenny Solms-Ann Elder-Toem Perew,Smith-Hemion Productions-Kenny Productions Inc.-Arch Angel Television Productions,Documentary-Music,
16,1996.0,Screamers,,,,,,,
17,2005.0,7 Seconds,96.0,4.8,Simon Fellows,Martin Wheeler,Andrew Stevens Entertainment-Donald Kushner Entertainment-7 Second Film Co. Ltd.-7 Seconds Castel Films-Pueblo Film Group-Junction Films-Micro Fusion 2004-3,Action-Comedy-Crime-Thriller,
18,1994.0,Immortal Beloved,121.0,7.5,Bernard Rose,Bernard Rose,Icon Entertainment International-Icon Productions-Majestic Films International,Biography-Drama-Music-Romance,
19,2000.0,By Dawn's Early Light,100.0,6.7,Arthur Allan Seidelman,Jacqueline Feather-David Seidler,Daniel L. Paulson Productions,Comedy-Drama,
20,1972.0,Seeta Aur Geeta,162.0,6.9,Ramesh Sippy,Javed Akhtar-Javed Akhtar-Satish Bhatnagar,NH Studioz,Comedy-Drama-Family-Musical-Romance,
21,2002.0,Strange Relations,48.0,,Jamie Annett,Robin Mukherjee,,Drama,
22,2000.0,Chump Change,89.0,5.9,Stephen Burrows,Stephen Burrows,The Burrows of Hollywood,Comedy-Romance,
23,2001.0,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,,,,,,,
24,1981.0,My Bloody Valentine,90.0,6.3,George Mihalka,Stephen A. Miller-John Beaird,Canadian Film Development Corporation-Famous Players-Secret Films,Horror-Mystery-Thriller,
25,1997.0,Inspector Morse 31: Death Is Now My Neighbour,,,,,,,
26,2004.0,Never Die Alone,88.0,5.7,Ernest R. Dickerson,Donald Goines-James Gibson,Bloodline Films-ContentFilm-Fearon Entertainment-Visionbox Pictures-White Orchid Films,Action-Crime-Drama-Thriller,
27,1962.0,Sesame Street: Elmo's World: The Street We Live On,,,,,,,
28,2002.0,Lilo and Stitch,,9.1,Art Spigel,,7ATE9 Entertainment,Talk-Show,
29,2001.0,Boycott,118.0,7.3,Clark Johnson,Stewart Burns-Herman Daniel Farrell-Timothy J. Sexton,HBO Films-Norman Twain Productions-Shelby Stone Productions,Drama,
30,2003.0,Something's Gotta Give,128.0,6.7,Nancy Meyers,Nancy Meyers,Columbia Pictures-Warner Bros.-Waverly Films,Comedy-Drama-Romance,
31,1999.0,Classic Albums: Meat Loaf: Bat Out of Hell,58.0,7.8,Bob Smeaton,,Daniel Television-Eagle Rock Entertainment-Isis Productions,Documentary-Music,
32,2004.0,ABC Primetime: Mel Gibson's The Passion of the Christ,,,,,,,
33,2000.0,Aqua Teen Hunger Force: Vol. 1,15.0,7.7,,Dave Willis-Matt Maiellaro-Chris 'Casper' Kelly,Awesome Incorporated-Cartoon Network-Radical Axis-Williams Street,Animation-Comedy,
34,2003.0,Ashtanga Yoga: Beginner's Practice with Nicki Doane,,,,,,,
35,2000.0,Ferngully 2: The Magical Rescue,,,,,,,
36,1992.0,Lady Chatterley,,,,,,,
37,1973.0,Zatoichi's Conspiracy,88.0,7.3,Kimiyoshi Yasuda,Yoshi Hattori-Kan Shimozawa,Katsu Production-Toho Company,Action-Drama,
38,2003.0,Daydream Obsession,87.0,3.1,Thomas R. Smyth,Scott Yarbrough,Ariztical Entertainment,,
39,2000.0,Love Reinvented,,,,,,,
40,2004.0,Pitcher and the Pin-Up,,,,,,,
41,2000.0,Horror Vision,,,,,,,
42,2002.0,Searching for Paradise,88.0,5.6,Myra Paci,Myra Paci,Centre Street-Charny/Grillo-Grande Capo-Luxmundi Productions,Drama,
43,2000.0,Silent Service,,,,,,,
44,1996.0,Spitfire Grill,117.0,6.9,Lee David Zlotoff,Lee David Zlotoff,Castle Rock Entertainment-Gregory Productions-The Mendocino Corporation,Drama,
45,1999.0,The Love Letter,88.0,5.4,Peter Ho-Sun Chan,Cathleen Schine-Maria Maggenti,DreamWorks-Sanford/Pillsbury Productions,Comedy-Drama-Romance,
46,1964.0,Rudolph the Red-Nosed Reindeer,47.0,8.1,Larry Roemer,Romeo Muller-Robert May-Johnny Marks,Rankin/Bass Productions-Videocraft International-National Broadcasting Company,Animation-Adventure-Comedy-Family-Fantasy-Musical,
47,1952.0,The Bad and the Beautiful,118.0,7.9,Vincente Minnelli,Charles Schnee-George Bradshaw,Metro-Goldwyn-Mayer (MGM),Drama-Romance,
48,2001.0,Justice League,22.0,8.6,,Bob Kane-William Moulton Marston-Joe Shuster,Warner Bros. Animation-DC Comics-Warner Bros.,Animation-Action-Adventure-Drama-Family-Fantasy-Mystery-Romance-Sci-Fi-Thriller,
49,2003.0,Devo: The Complete Truth About De-evolution,,,,,,,
50,1941.0,A Yank in the R.A.F.,98.0,6.5,Henry King,Darrell Ware-Karl Tunberg-Darryl F. Zanuck,Twentieth Century Fox,Action-Adventure-Drama-Romance-War,
51,2002.0,Jonah: A VeggieTales Movie: Bonus Material,,,,,,,
52,2002.0,The Weather Underground,92.0,7.5,Sam Green-Bill Siegel,,The Free History Project,Documentary-History-War,
53,2003.0,The Bonesetter,72.0,1.6,Brett Kelly,Brett Kelly,Dudez Productions,Horror-Thriller,
54,1952.0,We're Not Married,86.0,6.4,Edmund Goulding,Nunnally Johnson-Dwight Taylor-Gina Kaus,Twentieth Century Fox,Comedy-Romance,
55,1995.0,Jade,95.0,5.2,William Friedkin,Joe Eszterhas,Paramount Pictures-Robert Evans Company,Crime-Drama-Thriller,
56,2004.0,Carandiru,,,,,,,
57,1995.0,Richard III,110.0,7.5,Richard Loncraine,William Shakespeare-Ian McKellen-Richard Loncraine,Mayfair Entertainment International-British Screen Productions-Bayly/Paré Productions-United Artists Pictures-First Look International,Drama-Sci-Fi-War,
58,1996.0,Dragonheart,103.0,6.5,Rob Cohen,Patrick Read Johnson-Charles Edward Pogue-Charles Edward Pogue,Universal Pictures,Action-Adventure-Fantasy,
59,2003.0,Sex and the Beauties,,,,,,,
60,1969.0,The Libertine,,,,,,,
61,1999.0,Ricky Martin: One Night Only,45.0,7.4,Bruce Gowers,Ken Ehrlich,,Documentary-Music,
62,1991.0,Ken Burns' America: Empire of the Air,,,,,,,
63,1943.0,Crash Dive,106.0,6.4,Archie Mayo,Jo Swerling-W.R. Burnett,Twentieth Century Fox,Action-Adventure-Drama-Romance-Thriller-War,
64,2001.0,Outside the Law,30.0,,Farhad Safinia,Farhad Safinia,,Short-Drama,
65,2000.0,Lost in the Pershing Point Hotel,107.0,4.8,Julia Jay Pierrepont III,Leslie Jordan-Leslie Jordan,Pershing Point Productions-Pierrepont Productions,Comedy-Drama,
66,1989.0,Barbarian Queen 2,,,,,,,
67,1997.0,Vampire Journals,82.0,5.7,Ted Nicolaou,Ted Nicolaou,Castel Film Romania-Full Moon Entertainment-Full Moon Studios,Fantasy-Horror,
68,2004.0,Invader Zim,14.0,7.8,Jordan Reichek,Jhonen Vasquez-Jhonen Vasquez-Jhonen Vasquez,,Animation-Action-Adventure-Comedy-Family-Sci-Fi,
69,2003.0,WWE: Armageddon 2003,,6.8,Kevin Dunn,,World Wrestling Entertainment,Action-Sport,
70,1999.0,Tai Chi: The 24 Forms,,,,,,,
71,1995.0,Maya Lin: A Strong Clear Vision,,,,,,,
72,1974.0,At Home Among Strangers,97.0,7.7,Nikita Mikhalkov,Nikita Mikhalkov-Eduard Volodarskiy,Mosfilm,Action-Adventure-Drama-War-Western,
73,1954.0,Davy Crockett: 50th Anniversary Double Feature,,,,,,,
74,1999.0,6ixtynin9,118.0,7.2,Pen-Ek Ratanaruang,Pen-Ek Ratanaruang,Five Stars Production Company-The Film Factory,Comedy-Crime-Thriller,
75,1997.0,Grind,96.0,5.3,Chris Kentis,Laura Lau-Chris Kentis,Kodiak Productions LLC,Drama-Romance,
76,1952.0,I Love Lucy: Season 2,,,,,,,
77,1995.0,Congo,109.0,5.1,Frank Marshall,Michael Crichton-John Patrick Shanley,Paramount Pictures-The Kennedy/Marshall Company,Action-Adventure-Mystery-Sci-Fi,
78,1996.0,Jingle All the Way,89.0,5.6,Brian Levant,Randy Kornfield,1492 Pictures-Twentieth Century Fox,Comedy-Family,
79,1956.0,The Killing,84.0,8.0,Stanley Kubrick,Stanley Kubrick-Jim Thompson-Lionel White,Harris-Kubrick Productions,Crime-Drama-Film-Noir-Thriller,
80,1979.0,Winter Kills,97.0,6.2,William Richert,Richard Condon-William Richert,Winter Gold Productions,Comedy-Drama-Mystery-Thriller,
81,1991.0,Antarctica: IMAX,,,,,,,
82,1951.0,The Frogmen,96.0,6.7,Lloyd Bacon,John Tucker Battle-Oscar Millard-Samuel G. Engel,Twentieth Century Fox,Adventure-Drama-War,
83,1983.0,Silkwood,131.0,7.2,Mike Nichols,Nora Ephron-Alice Arlen,ABC Motion Pictures,Biography-Drama-History-Thriller,
84,2002.0,The Powerpuff Girls Movie,73.0,6.5,Craig McCracken,Charlie Bean-Lauren Faust-Craig McCracken,Cartoon Network Studios-Cartoon Network,Animation-Action-Adventure-Comedy-Family-Sci-Fi,
85,2005.0,Elfen Lied,,,,,,,
86,1996.0,Iron Monkey 2,92.0,4.6,Lu Chiang Chao-Lan Jing,Man Choi Lee-Daoyuan Qian,Gold Rush Film Co.,Action,
87,2002.0,Louder Than Bombs,,,,,,,
88,1998.0,Record of Lodoss War: Chronicles of the Heroic Knight,25.0,7.6,,Ryo Mizuno,,Adventure-Animation-Fantasy,
89,2000.0,Chain of Command,96.0,4.8,John Terlesky,T.L. Lankford,Cinetel Films-Chain of Command Inc.,Action-Adventure-Thriller,
90,1951.0,The Lemon Drop Kid,91.0,7.2,Sidney Lanfield-Frank Tashlin,Edmund Beloin-Irving Elinson-Edmund L. Hartmann,Hope Enterprises-Paramount Pictures,Comedy-Crime-Music-Romance,
91,2005.0,WWE: Royal Rumble 2005,180.0,7.6,Kevin Dunn,,World Wrestling Entertainment,Action,
92,2002.0,ECW: Cyberslam '99,,,,,,,
93,2004.0,They Came Back,102.0,5.9,Robin Campillo,Robin Campillo-Brigitte Tijou,Haut et Court-France 3 Cinéma-Gimages Développement-Canal+-Centre National de la Cinématographie (CNC)-Gimages 6-Région Ile-de-France-Région Centre,Drama-Fantasy,
94,2000.0,G3: Live in Concert,,,,,,,
95,1985.0,Dona Herlinda and Her Son,90.0,6.8,Jaime Humberto Hermosillo,Jaime Humberto Hermosillo-Jorge López Páez,Clasa Films Mundiales,Comedy-Drama-Romance,
96,2000.0,Inside the Space Station,,6.6,Pierre de Lespinois,Stephen Jay Schwartz,Discovery Channel-Evergreen Films,Documentary,
97,2002.0,Mostly Martha,,,,,,,
98,1965.0,The Battle of Algiers: Bonus Material,,,,,,,
99,1989.0,A Fishy Story,99.0,6.8,Anthony Chan,Anthony Chan-Eddie Ling-Ching Fong,Bo Ho Film Company Ltd.-Golden Harvest Company-Mobile Film Production,Comedy-Drama,
100,1993.0,Sam the Iron Bridge,96.0,6.4,Siu-Keung Cheng,James Fung,Citimedia-Long Shong Pictures,,
101,1997.0,Complete Shamanic Princess,,,,,,,
102,2004.0,Notre Musique,80.0,7.0,Jean-Luc Godard,Jean-Luc Godard,Avventura Films-Les Films Alain Sarde-Périphéria-France 3 Cinéma-Canal+-Télévision Suisse-Romande-Vega Film,Drama,
103,1976.0,Sanford and Son: Season 6,,,,,,,
104,1965.0,The Great Race,160.0,7.3,Blake Edwards,Arthur A. Ross-Blake Edwards-Arthur A. Ross,Warner Bros.-Patricia-Jalem Productions-Reynard,Action-Adventure-Comedy-Family-Romance-Sport-Western,
105,2002.0,Obsessed,90.0,5.7,John Badham,Matthew Tabak,Lifetime Television-Barbara Lieberman Productions-Robert Greenwald Productions-Viacom Productions,Drama-Mystery-Thriller,
106,2004.0,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,160.0,9.0,,,,Documentary-Music,
107,2000.0,Magnolia: Bonus Material,,,,,,,
